196386,0,3036.98,9618.31,159.60,6,5.00,45.13,37.90,-0.08,-0.03,0.04,-9.11,0.87,0.38,
196892,0,3036.98,9618.31,159.60,6,4.00,43.57,37.92,-0.06,0.03,-0.00,-9.12,0.65,0.38,
197398,0,3036.98,9618.31,159.50,6,5.00,45.00,37.94,-0.09,-0.02,0.02,-9.04,0.90,0.42,
197904,0,3036.98,9618.31,159.50,6,3.00,44.50,37.96,-0.13,0.02,-0.00,-9.13,0.79,0.51,
198410,0,3036.98,9618.31,159.50,6,4.00,45.05,37.99,-0.06,0.03,0.01,-9.13,0.50,0.34,
198916,0,3036.98,9618.31,159.50,6,5.00,44.89,38.00,-0.07,0.02,0.03,-9.16,0.49,0.13,
199422,0,3036.98,9618.31,159.50,6,5.00,44.55,38.04,-0.08,0.00,0.04,-9.24,0.15,0.02,
199928,0,3036.98,9618.31,159.50,6,5.00,45.30,38.05,-0.01,-0.02,0.07,-9.13,0.47,0.28,
200434,0,3036.98,9618.31,159.40,6,5.00,44.69,38.08,-0.08,-0.02,0.06,-9.13,0.63,0.39,
200940,0,3036.98,9618.31,159.40,6,3.00,44.99,38.11,-0.07,-0.00,0.05,-9.12,0.78,0.41,
201446,0,3036.98,9618.31,159.40,7,5.00,44.02,38.14,-0.05,-0.00,0.05,-9.08,0.94,0.34,
201952,0,3036.98,9618.31,159.40,7,5.00,44.14,38.15,-0.07,0.03,0.02,-9.10,0.87,0.39,
202458,0,3036.98,9618.31,159.40,7,5.00,44.70,38.19,-0.09,0.00,-0.01,-9.08,0.92,0.18,
202964,0,3036.98,9618.31,159.40,7,5.00,44.99,38.23,-0.11,0.00,0.00,-9.09,0.40,0.32,
203875,0,3036.98,9618.31,159.40,7,5.00,45.12,38.25,-0.07,0.01,0.04,-9.15,0.25,0.20,
204375,0,3036.98,9618.31,158.50,7,3.00,44.87,38.27,0.09,0.01,0.07,-9.07,0.54,0.37,
204878,0,3036.98,9618.31,158.50,7,3.00,44.72,38.29,-0.05,0.02,0.08,-9.16,0.80,0.20,
205384,0,3036.98,9618.31,158.50,7,4.00,44.29,38.33,-0.07,-0.00,0.02,-9.05,1.15,0.25,
205890,0,3036.98,9618.31,158.50,7,5.00,44.41,38.35,-0.07,-0.03,-0.02,-9.10,0.90,0.34,
206396,0,3036.98,9618.31,157.60,7,5.00,44.95,38.35,-0.22,-0.00,0.00,-9.16,0.44,0.43,
206902,0,3036.98,9618.31,157.60,7,5.00,44.80,38.39,-0.07,0.00,0.03,-9.15,0.29,0.57,
207402,0,3036.98,9618.31,157.60,7,5.00,44.38,38.43,-0.05,0.02,0.07,-9.09,0.68,0.37,
207902,0,3036.98,9618.31,157.60,7,3.00,45.29,38.43,-0.07,0.02,0.05,-9.11,0.85,0.24,
208405,0,3036.98,9618.31,156.90,7,4.00,44.07,38.47,-0.08,-0.02,0.01,-9.06,0.71,0.55,
208911,0,3036.98,9618.31,156.90,7,5.00,44.63,38.48,-0.12,0.03,0.03,-9.17,0.61,0.51,
209417,0,3036.98,9618.31,156.10,7,3.00,44.29,38.52,-0.04,0.03,0.02,-9.10,0.70,0.42,
209923,0,3036.98,9618.31,156.10,7,5.00,45.21,38.52,-0.08,0.03,0.03,-9.15,0.66,0.27,
210429,0,3036.98,9618.31,155.30,7,5.00,45.04,38.56,-0.07,0.03,0.02,-9.11,0.61,0.13,
210935,0,3036.98,9618.31,155.30,7,4.00,45.07,38.56,-0.07,-0.01,0.04,-9.17,0.51,0.11,
211441,0,3036.98,9618.31,154.60,7,5.00,44.90,38.60,-0.08,0.02,0.08,-9.14,0.70,0.09,
211947,0,3036.98,9618.31,154.60,7,3.00,44.50,38.62,-0.03,-0.00,0.05,-9.08,0.98,0.22,
212453,0,3036.98,9618.31,154.60,7,3.00,45.13,38.65,-0.10,-0.02,0.02,-9.12,0.81,0.48,
212959,0,3036.98,9618.31,154.00,7,5.00,44.91,38.67,-0.09,0.01,0.02,-9.16,0.56,0.46,
213802,0,3036.98,9618.31,154.00,7,3.00,45.28,38.70,-0.07,0.02,0.03,-9.13,0.61,0.41,
214302,0,3036.98,9618.31,154.00,7,5.00,44.42,38.71,0.00,0.00,0.00,4.64,0.46,5.61,
214895,0,3036.98,9618.31,154.00,7,5.00,44.72,38.76,-0.04,-0.02,0.02,-9.10,0.79,0.16,
215401,0,3036.98,9618.31,152.40,7,3.00,45.10,38.77,-0.07,-0.00,0.04,-9.18,0.59,0.37,
215907,0,3036.98,9618.31,152.40,7,5.00,44.76,38.80,-0.06,0.00,0.05,-9.16,0.60,0.42,
216413,0,3036.98,9618.31,151.60,7,5.00,45.30,38.84,-0.08,0.01,0.03,-9.05,0.87,0.23,
216919,0,3036.98,9618.31,151.60,7,5.00,44.54,38.84,-0.12,0.02,0.01,-9.14,0.75,0.26,
217425,0,3036.98,9618.31,151.60,7,3.00,44.28,38.87,-0.11,0.00,0.02,-9.11,0.57,0.23,
217931,0,3036.98,9618.31,151.10,7,4.00,44.86,38.89,-0.07,0.00,0.03,-9.14,0.49,0.41,
218791,0,3036.98,9618.31,151.10,7,5.00,44.52,38.92,-0.10,0.01,0.05,-9.08,0.64,0.32,
219295,0,3036.98,9618.31,151.10,7,4.00,44.73,38.97,-0.07,0.02,0.02,-9.15,0.81,0.24,
219872,0,3036.98,9618.31,151.10,7,5.00,44.05,38.98,-0.08,0.00,0.01,-9.13,0.85,0.03,
220373,0,3036.98,9618.31,151.10,7,5.00,44.68,39.00,-0.10,-0.03,0.00,-9.11,0.68,0.19,
